aX,aY,aZ,gX,gY,gZ
0.579,-0.828,-0.670,-9.216,-14.099,2.319
0.579,-0.826,-0.682,-14.282,-19.409,7.141
0.594,-0.796,-0.644,-16.479,-26.123,12.390
0.605,-0.772,-0.512,-14.221,-33.936,16.357
0.627,-0.758,-0.335,-10.437,-38.269,18.982
0.644,-0.697,-0.225,-6.958,-34.119,21.912
0.663,-0.588,-0.198,-3.540,-23.621,24.109
0.669,-0.505,-0.223,-0.061,-12.207,22.034

-0.522,-0.338,-2.242,-104.431,15.076,-87.708
-0.675,-0.383,-2.588,-127.319,4.639,-93.506
-0.820,-0.409,-2.861,-134.827,-24.292,-94.788
-1.092,-0.431,-3.074,-131.042,-70.496,-97.351
-1.243,-0.344,-3.187,-120.178,-123.047,-99.121
-1.470,-0.439,-2.965,-98.511,-192.078,-105.164
-1.597,-0.518,-2.797,-70.190,-256.897,-114.441
-1.682,-0.503,-2.421,-24.780,-322.815,-121.338
-1.756,-0.768,-1.568,24.109,-405.762,-137.390
-1.911,-1.275,-0.259,77.759,-491.699,-156.433
-2.061,-1.831,1.583,120.483,-564.514,-159.485
-2.045,-1.754,3.239,135.010,-577.148,-132.385
-1.937,-1.147,3.939,125.183,-493.652,-91.980
-1.897,-0.815,3.707,114.075,-379.944,-93.384
-1.672,-0.829,3.136,113.037,-311.523,-138.489
-1.306,-1.171,3.045,103.271,-309.448,-190.430
-0.610,-1.874,3.541,83.374,-339.905,-238.159
0.155,-2.917,3.999,51.697,-348.572,-265.137
0.790,-4.000,4.000,7.751,-316.833,-251.892
1.154,-4.000,4.000,-58.533,-261.902,-175.659
1.224,-4.000,4.000,-128.479,-188.354,-24.597
0.965,-3.977,3.791,-163.879,-90.332,174.927
0.429,-1.960,3.011,-166.931,19.043,332.153
-0.021,-0.337,2.005,-156.189,108.459,381.348
-0.235,0.326,1.237,-135.803,145.081,332.092
-0.315,0.215,1.021,-107.849,132.568,239.014
-0.360,-0.211,1.224,-75.134,106.873,156.006
-0.399,-0.539,1.380,-46.265,103.027,105.591
-0.433,-0.761,1.239,-27.466,121.887,77.332
-0.422,-0.992,0.927,-15.808,140.076,58.716
-0.411,-1.246,0.783,-6.042,137.390,47.852
-0.404,-1.440,0.790,1.282,123.047,49.438
-0.396,-1.478,0.729,0.732,114.990,63.354
-0.354,-1.352,0.593,-9.155,113.098,81.360
-0.301,-1.120,0.450,-22.034,108.582,96.252
-0.190,-0.832,0.272,-33.752,104.370,104.309
-0.014,-0.490,0.215,-40.161,97.107,104.370
0.145,-0.203,0.115,-40.161,95.093,94.360
0.318,-0.013,-0.090,-38.452,101.440,73.059
0.473,0.010,-0.203,-32.166,103.333,43.091
0.552,-0.144,-0.171,-19.287,99.487,10.620
0.581,-0.365,-0.261,-5.920,107.239,-15.808
0.558,-0.635,-0.597,1.526,127.014,-33.081
0.568,-0.908,-0.931,4.822,137.634,-38.879
0.625,-1.023,-1.141,9.399,132.690,-30.762
0.702,-0.908,-1.249,14.526,120.789,-12.512
0.758,-0.711,-1.333,14.404,110.352,3.723
0.781,-0.631,-1.383,8.545,100.342,9.521
0.797,-0.624,-1.395,2.563,88.928,8.850
0.819,-0.616,-1.361,1.404,76.477,6.470
0.813,-0.633,-1.342,5.554,66.345,2.441
0.791,-0.700,-1.336,8.972,58.105,-1.465
0.764,-0.764,-1.288,7.080,49.988,-2.014
0.758,-0.817,-1.224,4.395,42.419,1.038
0.743,-0.745,-1.129,2.258,36.194,9.033
0.744,-0.674,-0.970,2.747,29.907,14.709
0.735,-0.605,-0.980,3.845,34.058,15.747
0.738,-0.519,-0.977,5.127,36.926,14.954
0.731,-0.478,-0.883,8.789,33.813,10.864
0.719,-0.480,-0.877,11.780,36.133,3.967
0.705,-0.515,-0.891,13.000,39.246,-2.502
0.689,-0.583,-0.848,11.597,37.537,-7.568
0.666,-0.662,-0.848,6.775,37.231,-9.338
0.643,-0.676,-0.865,1.831,36.133,-6.958
0.643,-0.676,-0.829,0.122,29.846,-4.639
0.653,-0.691,-0.803,-0.183,22.339,-4.333
0.667,-0.718,-0.732,-2.258,12.939,-3.906
0.675,-0.761,-0.587,-5.859,2.136,-3.235
0.693,-0.817,-0.408,-8.057,-5.249,-2.197
0.710,-0.830,-0.211,-7.141,-8.240,0.732
0.712,-0.802,-0.079,-4.578,-4.822,5.066
0.709,-0.786,-0.001,-3.113,2.930,7.629
0.692,-0.760,0.043,-2.319,12.146,8.728
0.688,-0.700,0.026,-0.610,22.766,9.033
0.678,-0.641,-0.047,3.479,33.081,7.263
0.651,-0.613,-0.140,8.789,41.016,3.113
0.627,-0.632,-0.224,13.489,45.105,-1.770
0.616,-0.681,-0.315,16.663,46.570,-5.859
0.586,-0.738,-0.423,16.663,45.898,-7.751
0.574,-0.793,-0.461,13.000,39.978,-7.019
0.566,-0.844,-0.434,8.423,31.372,-3.906
0.557,-0.859,-0.408,2.625,25.085,1.038
0.552,-0.830,-0.386,-2.869,21.729,7.812
0.552,-0.790,-0.355,-5.432,19.226,13.245
