aX,aY,aZ,gX,gY,gZ
-0.196,-0.020,-0.865,-10.193,-23.315,-14.343
-0.196,-0.016,-0.829,-10.376,-18.372,-10.559
-0.203,-0.010,-0.845,-9.644,-10.071,-7.690
-0.203,-0.033,-0.883,-8.484,-2.991,-6.897
-0.206,-0.044,-0.925,-6.653,1.038,-5.310
-0.210,-0.032,-0.959,-3.235,3.784,-2.869
-0.211,-0.017,-0.997,0.244,5.066,-1.343
-0.211,-0.022,-1.031,1.709,5.066,-0.793
-0.209,-0.016,-1.060,3.418,4.272,0.000
-0.203,0.004,-1.076,4.761,2.686,1.282
-0.198,0.024,-1.082,3.845,1.587,1.953
-0.195,0.019,-1.073,1.831,0.305,1.343
-0.190,0.011,-1.046,-0.122,-1.526,0.793
-0.183,0.017,-1.017,-0.977,-2.869,1.099
-0.181,0.015,-1.007,0.122,-3.357,1.343
-0.176,0.020,-0.997,1.953,-3.479,1.343
-0.169,0.031,-0.979,2.380,-4.089,1.770
-0.167,0.040,-0.968,2.319,-3.723,1.770
-0.165,0.044,-0.965,2.197,-3.052,1.587
-0.165,0.044,-0.964,2.258,-2.075,1.282
-0.167,0.046,-0.967,1.526,-0.977,1.160
-0.170,0.047,-0.974,0.122,0.732,1.099
-0.168,0.046,-0.985,-1.160,2.625,0.854
-0.171,0.051,-0.993,-2.441,4.028,0.854
-0.174,0.044,-1.004,-3.723,4.517,0.366
-0.177,0.030,-1.012,-3.845,3.723,-0.488
-0.185,0.021,-1.016,-2.808,2.502,-0.671
-0.191,0.014,-1.014,-1.282,1.038,-0.732
-0.186,0.014,-1.010,-0.488,0.000,-0.549
-0.189,0.009,-1.002,-0.977,-0.671,-0.366
-0.187,0.008,-1.000,-0.183,-0.854,-0.122
-0.183,0.024,-1.002,1.709,-0.793,0.793
-0.178,0.032,-0.999,1.953,-0.793,1.099
-0.180,0.030,-0.992,0.427,-0.488,0.488
-0.181,0.023,-0.987,-1.343,0.427,0.122
-0.182,0.020,-0.986,-1.587,1.099,0.061
-0.185,0.017,-0.987,-1.770,1.526,0.122
-0.187,0.012,-0.992,-2.075,2.380,0.183
-0.192,0.005,-1.004,-1.709,2.625,0.305
-0.191,0.012,-1.009,-0.671,2.502,0.793
-0.187,0.020,-1.009,-0.183,2.136,1.343
-0.188,0.020,-1.006,-0.122,1.709,1.221
-0.188,0.016,-0.999,0.061,0.793,0.977
-0.182,0.025,-0.990,0.244,0.244,1.221
-0.141,0.058,-1.043,-0.977,0.854,1.160
-0.198,0.036,-1.044,-4.639,-2.686,-1.221
-0.172,0.026,-0.961,-5.554,-6.653,-1.404
-0.186,0.025,-0.936,-2.808,-2.808,-0.183
-0.182,0.033,-0.981,-1.953,2.625,0.183
-0.179,0.016,-1.021,-1.648,4.578,-0.549
-0.180,0.015,-1.016,-1.160,1.831,-0.793
-0.159,0.042,-1.007,-1.526,-0.244,-0.122
-0.190,0.021,-1.005,-5.554,-2.747,-1.770
-0.181,0.004,-0.968,-6.348,-3.845,-2.136
-0.197,-0.000,-0.977,-1.709,-0.671,-1.221
-0.186,0.019,-1.001,0.061,1.953,-0.061
-0.181,0.027,-1.018,-0.610,2.563,-0.183
-0.171,0.026,-1.036,-2.808,0.793,-1.038
-0.194,-0.002,-1.009,-6.226,-3.479,-2.014
-0.188,-0.000,-0.949,-5.371,-5.432,-1.526
-0.196,-0.006,-0.944,-1.343,-1.892,-0.977
-0.193,-0.015,-0.997,-0.488,2.747,-0.549
-0.193,-0.021,-1.031,0.366,3.784,-0.122
-0.190,-0.010,-1.013,1.160,0.793,0.916
-0.187,0.010,-0.990,0.244,-0.427,2.014
-0.179,0.023,-0.993,-0.122,0.854,2.075
-0.180,0.026,-1.006,-0.366,1.953,1.404
-0.183,0.016,-1.004,-1.038,0.854,0.549
-0.185,0.009,-0.995,-0.977,-0.122,0.061
-0.189,0.006,-0.996,-0.916,0.061,0.000
-0.187,-0.000,-0.997,-0.488,0.671,0.061
-0.185,0.002,-1.001,0.549,0.366,0.305
-0.180,0.016,-1.002,0.977,0.000,0.977
-0.183,0.018,-1.004,-0.427,0.000,0.793
-0.183,0.010,-1.009,-0.671,0.183,0.122
-0.180,0.017,-1.000,-0.793,-0.244,0.244
-0.176,0.021,-0.991,-1.160,-0.549,0.122
-0.182,0.009,-0.987,-1.831,-0.366,-0.549
-0.188,-0.007,-0.983,-2.258,-0.244,-1.099
-0.176,-0.000,-1.028,-1.831,0.061,-0.732
-0.199,-0.017,-1.027,-3.845,-2.563,-0.671
-0.188,0.009,-0.984,-3.723,-4.578,1.160
-0.193,0.008,-0.960,-1.770,-1.892,1.465
-0.188,0.011,-1.002,-3.052,2.991,1.343
-0.176,0.013,-1.053,-4.272,4.639,0.793
-0.199,0.010,-1.087,-6.958,0.732,0.061

-1.047,-0.108,-2.467,-33.020,314.148,-61.584
-1.258,-0.323,-3.040,-70.862,292.969,-76.965
-1.258,-0.753,-3.275,-95.703,238.159,-91.980
-1.185,-1.137,-3.013,-123.718,156.189,-85.205
-1.081,-1.314,-2.448,-131.592,68.176,-57.190
-0.938,-1.276,-1.826,-104.126,-7.324,-25.452
-0.848,-1.180,-1.254,-52.002,-63.782,-1.343
-0.707,-1.024,-0.906,10.803,-91.980,19.104
-0.595,-0.735,-0.751,61.462,-94.666,38.757
-0.514,-0.451,-0.688,87.402,-84.290,51.575
-0.413,-0.276,-0.602,89.233,-73.303,54.016
-0.304,-0.181,-0.476,78.552,-65.002,51.025
-0.194,-0.119,-0.330,69.336,-57.434,46.997
-0.092,-0.075,-0.229,63.843,-45.349,42.175
-0.055,-0.066,-0.214,60.120,-24.048,35.522
-0.077,-0.085,-0.316,52.124,6.042,30.029
-0.101,-0.086,-0.507,43.762,34.424,28.015
-0.121,-0.065,-0.706,31.311,55.298,28.320
-0.152,-0.044,-0.878,17.395,68.420,27.893
-0.196,-0.032,-1.055,5.371,78.003,26.672
-0.229,-0.028,-1.236,-4.150,83.008,24.658
-0.252,-0.038,-1.379,-10.437,78.796,21.362
-0.308,-0.062,-1.435,-13.916,64.941,16.968
-0.318,-0.084,-1.437,-12.756,45.776,13.733
-0.331,-0.096,-1.401,-8.667,26.917,11.230
-0.332,-0.111,-1.347,-4.089,11.108,8.789
-0.317,-0.120,-1.263,1.282,-2.380,6.958
-0.301,-0.116,-1.165,6.104,-13.184,5.493
-0.290,-0.113,-1.073,8.606,-20.996,3.479
-0.282,-0.139,-0.982,10.193,-26.733,0.366
-0.283,-0.171,-0.887,10.132,-29.663,-2.197
-0.287,-0.192,-0.818,10.437,-28.320,-3.113
-0.284,-0.198,-0.797,12.939,-23.071,-3.052
-0.281,-0.195,-0.802,14.893,-17.212,-3.113
-0.285,-0.187,-0.811,13.916,-11.780,-3.113
-0.284,-0.173,-0.817,10.681,-6.592,-3.113
-0.286,-0.177,-0.833,6.287,-2.136,-3.784
-0.301,-0.197,-0.882,2.563,3.113,-5.188
-0.316,-0.216,-0.942,1.587,6.714,-5.981
-0.322,-0.226,-0.965,1.221,7.141,-5.615
-0.324,-0.236,-0.966,-1.038,7.202,-4.639
-0.329,-0.248,-0.988,-3.479,8.545,-3.723
-0.329,-0.247,-1.018,-3.662,9.460,-2.563
-0.328,-0.243,-1.038,-2.869,7.996,-1.770
-0.328,-0.238,-1.042,-2.258,5.188,-0.916
-0.324,-0.228,-1.032,-0.793,2.258,0.183
-0.312,-0.218,-1.011,1.160,-0.671,0.610
